Entry	Entry name	Gene names
P77335	HLYE_ECOLI	hlyE clyA hpr sheA ycgD b1182 JW5181
P37443	YCAI_ECOLI	ycaI b0913 JW5120
P25737	LYSP_ECOLI	lysP cadR b2156 JW2143
Q59385	COPA_ECOLI	copA atcU f834 ybaR b0484 JW0473
P0A8J8	RHLB_ECOLI	rhlB mmrA b3780 JW3753
P23877	FEPG_ECOLI	fepG b0589 JW0581
P63284	CLPB_ECOLI	clpB htpM b2592 JW2573
P39377	IADA_ECOLI	iadA yjiF b4328 JW4291
P0ABS5	DNAG_ECOLI	dnaG dnaP parB b3066 JW3038
P21367	YCAC_ECOLI	ycaC b0897 JW0880
P76116	YNCE_ECOLI	yncE b1452 JW1447
P0ACY1	YDJA_ECOLI	ydjA b1765 JW1754
P45577	PROQ_ECOLI	proQ yebJ yobE yoeC b1831 JW5300
P36678	GSPM_ECOLI	gspM hopZ pshM b3334 JW5704
P71241	WCAJ_ECOLI	wcaJ b2047 JW2032
P17993	UBIG_ECOLI	ubiG pufX yfaB b2232 JW2226
P0AFD6	NUOI_ECOLI	nuoI b2281 JW2276
P37653	BCSA_ECOLI	bcsA yhjO yhjP b3533 JW5665
P52138	YFJW_ECOLI	yfjW b2642 JW2623
P0AET2	HDEB_ECOLI	hdeB yhhD yhiC b3509 JW5669
P0AB93	ARSB_ECOLI	arsB arsF b3502 JW3469
P24180	ACRE_ECOLI	acrE envC b3265 JW3233
P27896	NARQ_ECOLI	narQ b2469 JW2453
P02916	MALF_ECOLI	malF b4033 JW3993
P0A887	UBIE_ECOLI	ubiE yigO b3833 JW5581
P0ABZ6	SURA_ECOLI	surA b0053 JW0052
P0AG24	SPOT_ECOLI	spoT b3650 JW3625
P16700	CYSP_ECOLI	cysP b2425 JW2418
P18775	DMSA_ECOLI	dmsA b0894 JW5118
P69212	MDTJ_ECOLI	mdtJ ydgF b1600 JW1592
P54745	MNGA_ECOLI	mngA hrsA b0731 JW0720
P0A8W0	NANR_ECOLI	nanR yhcK b3226 JW3195
P0AFA9	NIKC_ECOLI	nikC b3478 JW3443
