Complex ID	Complex Size	Complex
28	15	"dnaG, ftsK, ispE, mutL, mutS, nagC, nagZ, rarA, recJ, rimO, trpB, ubiB, xseA, yggW, radA"
29	14	"atpB, atpE, glgC, kdsA, mlaA, prlC, rfbB, trxB, ybbN, ydhF, yeaD, msrA, aroK, yqcA"
30	13	"yadH, bioB, msrC, purC, ribA, ribC, sufC, sufS, atpB, gor, yeeN, sufA, tsaE"
31	13	"lapB, lpxB, lpxK, diaA, ispU, lpxH, parC, rarA, recJ, amiC, bamD, radA, rapZ"
32	13	"acrB, ccmE, fetB, gntT, mdtF, ompN, sstT, ybjP, yedX, hemY, yidC, yihP, yjbB"
33	13	"ldtA, acs, aldB, ansA, astC, dppA, gcvH, purH, purL, sodC, uvrB, yafV, msrA"
34	13	"exbB, lgt, oxyR, phoR, plaP, prc, pstS, ydcS, yedX, arcB, rbsB, ubiD, lgoT"
35	13	"azoR, folA, folD, hyaD, mak, rdgB, rluD, sufB, thyA, trmL, ydhF, cysQ, lplA"
36	12	"hypD, cysA, ftsK, hypE, mutS, tdk, xseA, yehX, yggW, diaA, fbp, mcrB"
37	12	"mdtA, mdtB, mdtC, nuoB, prc, mdtD, baeS, infB, nuoA, tolC, nupC, sdaC"
38	12	"acrA, clpX, fliP, fliR, minD, mscK, ppiD, slp, hslU, infB, recA, yibN"
39	12	"cpsB, folC, gmd, ispA, ligA, prmA, rnhB, ugd, wcaA, yaaA, gmk, miaA"
40	12	"ddlA, gcvH, map, rluD, yccU, yqhD, elbB, fic, gpsA, mlaF, rimI, sseA"
41	11	"cspE, lolC, lolD, lolE, lpxK, tsf, rluC, gapA, ynjE, lysS, metK"
42	11	"acrB, ccmE, ccmG, lapA, mlaA, secD, yajC, atpF, rodZ, yfgM, zipA"
43	10	"fliF, fliG, fliM, cheY, flgG, flgI, flhA, fliH, trg, fliN"
44	10	"leuS, csrA, galK, galM, pepP, prfB, psiF, gpsA, pck, yghA"
45	10	"narG, narH, bacA, clsA, lgoT, mdtC, mltB, nrfA, tcyJ, znuA"
46	10	"frmB, dnaX, nudL, yaiI, yehX, zapE, dmsA, yhgF, recF, recJ"
47	10	"dauA, acnA, btuE, cysI, fdx, menB, ppiB, rimP, ycaR, grxC"
48	10	"glnQ, phoR, glnP, ilvI, nagZ, arcB, ftsX, mlaA, plsC, yehX"
49	9	"ampH, bamA, macA, rbfA, dacD, gadC, arcB, glpF, slt"
50	9	"hyaA, hybA, hybC, hybO, macA, sohB, ybbP, fdoG, yqhA"
51	9	"clpX, lon, mdlA, mdlB, ppiD, tig, atpF, ybaB, ffh"
52	9	"fhuB, glpA, glpC, glpT, glpQ, ggt, glpF, nrfC, ftsB"
53	9	"bamD, cydA, glpC, htpX, lipA, rodZ, ispG, nrfC, nrfB"
54	9	"folD, glgP, preA, rng, rsmI, trmL, yafV, yidA, phnP"
55	9	"carA, thiL, ushA, yajL, argG, glgP, lplA, mnmA, yjdJ"
56	9	"curA, hdhA, nemA, panC, yqhD, dkgA, elaA, qor, yqfB"
57	9	"diaA, dnaB, pyrH, spoT, tcyN, tsaD, ydiJ, yfbR, yjiR"
58	8	"acrA, prs, putA, yebQ, bamB, crp, murA, proP"
59	8	"add, dhaL, ffh, mscS, dadA, gntR, tdcD, fecC"
60	8	"waaC, waaF, waaO, waaP, waaS, waaU, waaY, waaQ"
61	8	"bamA, clpA, copA, cusA, cusB, prc, metK, tnaA"
62	8	"apbE, cysD, cysN, napA, torZ, ftsB, tauA, amiC"
63	8	"copA, entS, sucB, ugpA, ugpE, yddW, yedY, malK"
64	8	"copA, pgm, tolB, tolQ, tolR, ycbZ, cpoB, mgtA"
65	8	"anmK, aroB, elaA, gcvH, glgP, lipB, rlmH, trmL"
66	8	"bepA, hisF, ilvC, mnmA, moaE, prfA, ribD, purD"
67	7	"lptA, ubiB, ubiD, ftsQ, nudL, torZ, fre"
68	7	"yadG, djlA, dauA, ftsP, ggt, yedY, dgkA"
69	7	"grxB, aroG, rhlE, yegP, msrA, ppk, yjdM"
70	7	"yadH, yajO, dsbA, gabT, aas, dmsA, gstA"
71	7	"adeP, corA, cpdB, msbA, osmY, dmsA, deoB"
72	7	"fdhE, fdnG, fdnH, fdoH, fdnI, fdoI, fdoG"
73	7	"clpB, ugpA, ugpB, ugpE, ybjQ, malK, ubiE"
74	7	"rlmI, yfdH, amiA, def, rimP, smpB, rnr"
75	7	"fruA, iscU, mraY, msbA, nuoE, dgcC, feoB"
76	7	"bamD, rluC, lptA, metC, rppH, tamA, hfq"
77	7	"can, cspD, rdgC, atpB, cspA, rluE, yggX"
78	7	"amiA, hemC, rlmI, rsmB, spoT, tgt, rlmB"
79	7	"folD, hyaC, hyaD, argR, thyA, garR, treA"
80	7	"dgcP, glnD, rssB, ttcA, folC, parE, tcdA"
81	7	"dnaE, ilvI, tsaE, uvrY, yceA, miaA, metH"
82	6	"eco, mtn, ftsH, phoU, ubiG, yifE"
83	6	"selD, ydeN, ynaI, fkpA, mepA, phnD"
84	6	"lsrB, uxuA, ybhG, brnQ, yaaJ, lgoT"
85	6	"glpF, malF, malG, yeeO, yfeW, ytfL"
86	6	"phoP, yaaJ, dauA, dgcE, ftsX, ynfM"
87	6	"ggt, glpX, ybiO, arcB, trg, glpF"
88	6	"fadL, nuoN, rseP, nuoK, nuoL, emrA"
89	6	"ycgB, btuR, lpxK, yeaH, cysA, garD"
90	6	"rpe, yeiG, yobA, argE, elaA, gshA"
91	6	"nuoJ, pdxB, ubiX, fdx, gpsA, rlmM"
92	6	"argS, fmt, mak, speE, yfiH, nfi"
93	6	"dapE, ispE, mutM, recJ, ybeY, rlmB"
94	6	"adhP, argG, nemA, tag, ysgA, ahr"
95	6	"fabD, nagB, ppiA, ppiB, zraS, aspA"
96	5	"dauA, fkpA, hyaA, lpcA, fklB"
97	5	"sufD, ybfF, sufB, ansA, srlD"
98	5	"lptD, ybjP, artM, yohK, sanA"
99	5	"gadC, ydbK, murG, yhiM, gadA"
100	5	"copA, lldD, slyA, mgtA, pstS"
101	5	"cusS, luxS, cpdB, lgt, osmY"
102	5	"yaaJ, ybjS, prc, amiC, pbpG"
103	5	"hepA, ygiH, der, mutS, tbpA"
104	5	"ldtB, phoA, manY, rne, ydbK"
105	5	"dnaJ, prs, ygiM, hemY, rhlB"
106	5	"ybjL, sdaC, clsA, ftsH, nadE"
107	5	"ssuA, ssuD, ssuE, cysP, sbp"
108	5	"tolQ, tolR, ycjF, djlA, lptC"
109	5	"kdpC, kdpD, kdpA, kdpB, glpF"
110	5	"bglX, xylF, galR, xylA, rbsD"
111	5	"sapC, ftsL, sapB, sapF, proQ"
112	5	"recR, rnc, pth, yjcE, ptsN"
113	5	"ybhF, ybhR, ybhS, ybhG, rbbA"
114	5	"dppB, dppC, dppD, dppF, dppA"
115	5	"ccmE, ccmH, ccmF, tsf, rodZ"
116	5	"frdA, frdB, frdC, mscM, psd"
117	5	"yadS, rlmD, ybhF, dgkA, yjcE"
118	5	"prfA, ribD, solA, purL, garR"
119	5	"hyfB, thrB, ykgF, hyfC, tdcD"
120	5	"entC, rlmF, uvrB, rluE, ybjI"
121	5	"gabD, ileS, maeA, yghU, phnD"
122	5	"ybaA, dsdA, trxC, yffB, yjdN"
123	5	"kdsB, kdsC, panD, yfgO, dapF"
124	5	"pcnB, rsfS, def, malQ, rsuA"
125	5	"trpB, yhbT, yhbU, ubiB, asd"
126	5	"hisC, proA, ycgM, ispB, purD"
127	5	"dmlA, nagA, nfsA, argE, ilvE"
128	4	"mdtF, ompN, flu, eptC"
129	4	"rseP, entF, putP, yhiD"
130	4	"msbA, nanA, nanE, dut"
131	4	"mrdA, mreC, ygeR, yibQ"
132	4	"nagE, ptsG, yfeW, yohK"
133	4	"mtlA, ydjX, hflC, hflK"
134	4	"cpoB, ruvA, yeeE, tcdA"
135	4	"hyaA, hyaD, hyaE, treA"
136	4	"dinB, intF, ytfL, apbE"
137	4	"secD, ssuC, ghxP, yjcE"
138	4	"ybbO, glnP, ybhG, clsA"
139	4	"fabI, sapA, polA, tpiA"
140	4	"lgoT, nikA, lsrB, yjjA"
141	4	"ggt, hyaA, mlaF, ppiC"
142	4	"lipA, yegT, dnaJ, yehU"
143	4	"xseB, cpdB, fkpA, xseA"
144	4	"pdhR, ftsW, ggt, baeS"
145	4	"mlaB, yadH, mlaF, mlaE"
146	4	"dmsA, dmsB, ynfF, ynfG"
147	4	"rsxD, rsxA, rsxG, rsxE"
148	4	"etk, gfcE, gfcD, etp"
149	4	"fepG, entB, fepD, entA"
150	4	"rlmG, trpD, rlmB, ygiF"
151	4	"moaA, narJ, narZ, rapZ"
152	4	"livF, livG, livK, yjbB"
153	4	"dusB, panF, ydiF, rfe"
154	4	"hpt, srlB, yaiI, yjjU"
155	4	"dadX, malX, nfsA, tabA"
156	4	"atpB, atpE, ychN, mioC"
157	4	"bcr, kduD, ydfH, lgoD"
158	4	"chbF, nagA, yidA, ulaD"
159	4	"amiC, hisG, lpxA, hflX"
160	4	"pyrH, truD, recF, relA"
161	4	"hrpA, rarA, yegD, glnL"
162	4	"allR, torS, ybiV, sad"
163	4	"hisS, suhB, folP, mlaF"
164	4	"ansA, dnaE, ligA, hsdR"
165	4	"gmk, murD, rsmG, pbpG"
166	4	"dsbA, lpxH, trmJ, holC"
167	4	"ravA, rimO, tsaD, ubiB"
168	4	"hisG, yceF, gpsA, envZ"
169	4	"atpE, cysC, moeA, atpB"
170	4	"gltI, gstB, fdx, kdsB"
171	4	"dgcT, mscK, ybeZ, lolB"
172	4	"glxR, allC, kch, mlaE"
173	4	"ybhG, yhhJ, rbbA, yhiI"
174	4	"atoB, lgt, rfe, slt"
175	4	"hycC, hycE, hycG, hycB"
176	4	"folP, kdsD, pth, cysE"
177	3	"tufA, wcaJ, tufB"
178	3	"phnK, phnO, phnH"
179	3	"ybbW, allB, glxK"
180	3	"artM, artQ, artP"
181	3	"sstT, yqjE, yqjK"
182	3	"yejB, yejE, yejF"
183	3	"wbbH, wzzB, galF"
184	3	"fdhF, alsB, lgoD"
185	3	"bssS, yceI, mdtH"
186	3	"fruA, uhpB, treB"
187	3	"fhuA, qmcA, tonB"
188	3	"araF, znuA, zinT"
189	3	"rcsD, ybhG, rcsB"
190	3	"gabD, csiD, gabT"
191	3	"acrB, tsx, yjiY"
192	3	"aceB, yedF, aceA"
193	3	"frlR, fadD, ugpB"
194	3	"yeiQ, nagK, ugpA"
195	3	"trg, ymbA, ydcL"
196	3	"gatB, manY, yehU"
197	3	"trg, tmk, nlpA"
198	3	"ldtD, trg, nlpC"
199	3	"kdpD, udk, nupG"
200	3	"prc, ugpQ, malS"
201	3	"rnt, hemD, tamB"
202	3	"fbaB, ybaL, pgi"
203	3	"copA, qseC, zntA"
204	3	"mltB, trg, mltA"
205	3	"kefB, fetB, kefG"
206	3	"bamA, fabZ, yeeA"
207	3	"uspG, rna, hybA"
208	3	"fetB, ydgA, ydhJ"
209	3	"dsbG, hslU, hslV"
210	3	"ompW, dgcF, tatB"
211	3	"bacA, lpxM, rfaD"
212	3	"ybaP, amiC, recF"
213	3	"wcaJ, yfdH, wzzE"
214	3	"cra, rbsB, yeeO"
215	3	"manY, yaaJ, gatA"
216	3	"yggE, ileS, ggt"
217	3	"apbE, yaaJ, yfiF"
218	3	"yciF, ybaL, trg"
219	3	"msbA, lpxK, waaG"
220	3	"flgK, narX, fliC"
221	3	"fliI, fliR, yjbQ"
222	3	"eutB, eutC, eutE"
223	3	"ycjP, ycjQ, ycjR"
224	3	"phnM, phnN, nrdG"
225	3	"hyuA, xdhA, xdhD"
226	3	"sapD, sapF, csrD"
227	3	"ptsH, rimP, hpf"
228	3	"sapC, yejL, metJ"
229	3	"hybE, thiM, hybD"
230	3	"glpR, rbsR, fsaB"
231	3	"aroF, truA, ulaA"
232	3	"gfcE, yedV, kduI"
233	3	"hisG, pcm, tatC"
234	3	"cyoE, hrpB, ruvA"
235	3	"yafV, ybgL, xdhB"
236	3	"lsrF, lsrG, tam"
237	3	"aroL, bioD, pheA"
238	3	"fhuC, fhuD, fhuB"
239	3	"nhaA, patZ, pheA"
240	3	"narI, narK, sppA"
241	3	"mdtH, mraZ, priA"
242	3	"prkB, yheT, recF"
243	3	"dinB, frvX, yjeF"
244	3	"trpA, ygeY, glgX"
245	3	"gmd, wzc, wza"
246	3	"bglX, ygjR, exuT"
247	3	"mrp, purC, serB"
248	3	"dbpA, lpxC, mcrB"
249	3	"gsiB, nikB, dinF"
250	3	"napC, napG, napA"
251	3	"fepA, fiu, cirA"
252	3	"pstS, ynfM, yjgR"
253	3	"nfsB, yihI, rraB"
254	3	"atpB, yjdI, yjdJ"
255	3	"kduD, malI, ugpA"
256	3	"trpB, yaeQ, ypfH"
257	3	"lepA, parE, yhgE"
258	3	"paaJ, ypfJ, trmA"
259	3	"kdgR, trg, yecJ"
260	3	"cmoB, ilvE, yedP"
261	3	"ybdH, purT, tcyL"
262	3	"hda, holB, yggT"
263	3	"rhsD, entF, metC"
264	3	"rsxB, yciO, rbbA"
265	3	"ldtA, sbmC, dacD"
266	3	"avtA, rimJ, recF"
267	3	"ligA, xerC, basR"
268	3	"aroP, fetB, tnaA"
269	3	"mdtD, xerD, gspF"
270	3	"glnP, opgH, yihY"
271	3	"gsiB, yjhU, yjhH"
272	3	"folC, hscA, parE"
273	3	"gsiB, hisD, waaH"
274	3	"dfp, tgt, rhtC"
275	3	"nudL, rimO, waaJ"
276	3	"dcp, dfp, msrC"
277	3	"ratB, rluC, tsaD"
278	3	"ptsP, ytfL, zapE"
279	3	"ybhJ, rsuA, tcyL"
280	3	"gloA, rdgB, yhhW"
281	3	"carB, pdeR, yqhC"
282	3	"fur, mrdB, cas2"
283	3	"gltJ, gltL, ndh"
284	3	"gspD, wza, adeP"
285	3	"gsiB, ynbC, trxA"
286	3	"ssuB, clpB, napA"
287	3	"ampH, apbE, creA"
288	3	"ubiC, yegQ, ytfL"
289	3	"dppA, rdgB, pepQ"
290	3	"ydgI, metK, phoU"
291	3	"envZ, macA, lexA"
292	3	"msbA, pinE, pspE"
293	3	"ybeX, corA, nuoA"
294	3	"ddlB, dauA, trg"
295	2	"yjfL, yjfC"
296	2	"napA, ubiI"
297	2	"yfcZ, amiC"
298	2	"bamD, mltB"
299	2	"bamA, bamD"
300	2	"seqA, yfdH"
301	2	"lysP, cadC"
302	2	"ibpB, dcuS"
303	2	"ybcH, nfrA"
304	2	"yehA, yehC"
305	2	"elyC, tynA"
306	2	"yigF, rarD"
307	2	"ydcT, ydcU"
308	2	"dgcZ, ydeI"
309	2	"ompL, yihO"
310	2	"mdfA, lpxP"
311	2	"narQ, acrD"
312	2	"yhjD, yjfK"
313	2	"lacY, pheP"
314	2	"clcA, xanP"
315	2	"hdeB, hdeA"
316	2	"cysW, adeQ"
317	2	"dcrB, uspA"
318	2	"wbbI, yicL"
319	2	"rseA, rpoE"
320	2	"ldtE, ydiH"
321	2	"ycfP, spy"
322	2	"yebE, yebF"
323	2	"osmC, ynfD"
324	2	"cheZ, tap"
325	2	"yaaU, tyrR"
326	2	"ycaC, oppA"
327	2	"pfkA, cpxP"
328	2	"mlrA, mepA"
329	2	"yicI, yicJ"
330	2	"dhaL, yeiB"
331	2	"yccS, dsbC"
332	2	"tbpA, thiD"
333	2	"gadC, stpA"
334	2	"mscK, yjiJ"
335	2	"ytfG, cpdB"
336	2	"degP, idnT"
337	2	"ynaI, plsB"
338	2	"yidC, tnaB"
339	2	"dtpB, hslU"
340	2	"erpA, fkpA"
341	2	"ubiJ, ytfL"
342	2	"tyrP, ftsH"
343	2	"exuR, ggt"
344	2	"ompF, lgt"
345	2	"dauA, srmB"
346	2	"clpS, npr"
347	2	"lpxM, raiA"
348	2	"sbcB, aldB"
349	2	"atoS, eutT"
350	2	"atoC, metB"
351	2	"dtpA, setB"
352	2	"yiaT, ghxQ"
353	2	"mngB, uidA"
354	2	"osmB, ynfB"
355	2	"yfhG, pgpC"
356	2	"yghG, pppA"
357	2	"rfbX, yeiE"
358	2	"uidC, uidB"
359	2	"yciT, yciW"
360	2	"chbA, ruvC"
361	2	"deoR, ybjJ"
362	2	"fucI, tsgA"
363	2	"menD, fucU"
364	2	"melA, idnO"
365	2	"lpxL, norR"
366	2	"paoC, yjfI"
367	2	"dcyD, phnL"
368	2	"macB, pitB"
369	2	"xapB, waaL"
370	2	"aroM, ydbD"
371	2	"ydhK, aaeA"
372	2	"argA, argB"
373	2	"ybhI, fumB"
374	2	"yfbM, garK"
375	2	"gcd, hsrA"
376	2	"pspB, pspC"
377	2	"yjhB, tsr"
378	2	"araA, uacT"
379	2	"pdeF, hemE"
380	2	"pdxA, yigB"
381	2	"yegW, xapA"
382	2	"abgT, yfcS"
383	2	"hcr, fadH"
384	2	"dpiB, fecD"
385	2	"yqiI, fimA"
386	2	"napH, pflD"
387	2	"rutA, rbsA"
388	2	"ybdR, ulaG"
389	2	"abgB, ydjK"
390	2	"acpT, rffA"
391	2	"acrF, uspB"
392	2	"fldA, proX"
393	2	"rcsF, cycA"
394	2	"yheU, slmA"
395	2	"zapD, dppA"
396	2	"eptB, uhpA"
397	2	"nhaB, paaD"
398	2	"rihA, ybhH"
399	2	"yggN, trmI"
400	2	"ydiZ, yniA"
401	2	"yohF, treF"
402	2	"murI, aphA"
403	2	"ybiA, menI"
404	2	"rluA, pdxK"
405	2	"ldcC, potE"
406	2	"yahF, ispF"
407	2	"yhjC, yhjE"
408	2	"ptrB, gudP"
409	2	"ampE, yeeJ"
410	2	"soxR, nrdG"
411	2	"speF, nikR"
412	2	"cvrA, ycjY"
413	2	"hyfF, focB"
414	2	"ygcE, yhdZ"
415	2	"gloC, ppx"
416	2	"lsrK, ydiO"
417	2	"yciK, tyrB"
418	2	"rpiA, mtlD"
419	2	"ybiU, ybiW"
420	2	"basS, adiA"
421	2	"ybiY, gntT"
422	2	"kefC, yciA"
423	2	"rlmC, yedI"
424	2	"dgcN, malT"
425	2	"metI, speA"
426	2	"cyaA, yigA"
427	2	"phr, cysZ"
428	2	"gutM, selA"
429	2	"yciU, yeiP"
430	2	"dcd, nrdB"
431	2	"rstB, mipA"
432	2	"purK, purF"
433	2	"ppsR, folP"
434	2	"mhpA, barA"
435	2	"cobB, thiH"
436	2	"nadA, lhr"
437	2	"cobU, yqaB"
438	2	"btuD, arnD"
439	2	"eamA, metA"
440	2	"eptA, opgB"
441	2	"rsmH, ydjA"
442	2	"sdaA, yheO"
443	2	"ydiJ, dsdC"
444	2	"ltaE, mug"
445	2	"ydjZ, tar"
446	2	"aes, tdcD"
447	2	"ybeL, dgkA"
448	2	"ygeW, ygfM"
449	2	"chaA, lamB"
450	2	"appA, ppc"
451	2	"yijE, prfC"
452	2	"fsaA, dapF"
453	2	"polB, metC"
454	2	"ybgJ, pqiB"
455	2	"hisD, uxaA"
456	2	"ybjG, degQ"
457	2	"pyrD, yfgD"
458	2	"motB, bcsZ"
459	2	"ybjX, yedX"
460	2	"yafV, yfcD"
461	2	"gfcE, yghQ"
462	2	"rlmJ, arsC"
463	2	"tgt, fau"
464	2	"yaiA, yaiE"
465	2	"ompN, ydgH"
466	2	"ydhI, ydhJ"
467	2	"ycaO, hsdM"
468	2	"argO, fecB"
469	2	"modC, mepA"
470	2	"yceG, hisG"
471	2	"dapB, eutD"
472	2	"obgE, yhbE"
473	2	"yhgF, bcsE"
474	2	"yqeB, dacB"
475	2	"ycaD, proP"
476	2	"ydgJ, sodC"
477	2	"nagC, yfcE"
478	2	"sdhC, sdhD"
479	2	"metN, ychA"
480	2	"yeiL, def"
481	2	"thpR, csrA"
482	2	"mglA, yjjI"
483	2	"ispA, rstA"
484	2	"glnP, fabR"
485	2	"grxA, yffB"
486	2	"nikA, nikD"
487	2	"kdsB, pepE"
488	2	"crl, aas"
489	2	"fhuB, glpB"
490	2	"mtfA, purC"
491	2	"tbpA, ybjT"
492	2	"yqjC, gor"
493	2	"elfD, wza"
494	2	"wza, wzyE"
495	2	"ydhS, ysgA"
496	2	"yqjG, rpe"
497	2	"prfA, aer"
498	2	"prfA, yidB"
499	2	"rapZ, yrbL"
500	2	"ansB, bcsG"
501	2	"abrB, gsiB"
502	2	"gsiB, dgcI"
503	2	"nuoG, livH"
504	2	"hemB, yieL"
505	2	"rimO, yqeF"
506	2	"allE, garR"
507	2	"mscK, cobS"
508	2	"mscK, fliQ"
509	2	"yobA, wcaK"
510	2	"yafD, pdeR"
511	2	"mscK, ychE"
512	2	"kdsA, yhgN"
513	2	"shiA, yjbB"
514	2	"ybhP, dmsA"
515	2	"clpB, gspA"
516	2	"ynaI, nanR"
517	2	"rsmJ, yiaD"
518	2	"trxB, puuE"
519	2	"rhsC, rluD"
520	2	"cydA, ygdD"
521	2	"yedY, yqcC"
522	2	"yafN, ybhG"
523	2	"ybcJ, yjdM"
524	2	"sgbE, yidC"
525	2	"yigM, yjcE"
526	2	"ybiX, apbE"
527	2	"chbC, tcyJ"
528	2	"tcyJ, rnpA"
529	2	"clsA, thiC"
530	2	"ppiD, yigE"
531	2	"trg, glgS"
532	2	"yagB, trg"
533	2	"trg, ydfJ"
534	2	"trg, yicH"
535	2	"trg, zapA"
536	2	"phoR, yajD"
537	2	"yncD, nuoA"
538	2	"prc, bcsC"
539	2	"prc, fimF"
540	2	"msbA, yecN"
